,wnid,num_examples,num_correct,accuracy
193,n02096294,50,22,0.44
194,n02096437,50,35,0.7
195,n02096585,50,39,0.78
196,n02097047,50,30,0.6
197,n02097130,50,29,0.58
198,n02097209,50,34,0.68
199,n02097298,50,34,0.68
200,n02097474,49,18,0.3673469387755102
201,n02097658,50,26,0.52
202,n02098105,50,27,0.54
203,n02098286,50,38,0.76
204,n02098413,50,26,0.52
205,n02099267,50,31,0.62
206,n02099429,50,32,0.64
207,n02099601,50,30,0.6
208,n02099712,50,33,0.66
209,n02099849,50,33,0.66
210,n02100236,49,31,0.6326530612244898
211,n02100583,50,33,0.66
212,n02100735,50,33,0.66
213,n02100877,50,34,0.68
214,n02101006,50,38,0.76
215,n02101388,49,36,0.7346938775510204
216,n02101556,50,41,0.82
217,n02102040,50,40,0.8
218,n02102177,50,47,0.94
219,n02102318,48,26,0.5416666666666666
220,n02102480,49,30,0.6122448979591837
221,n02102973,50,43,0.86
222,n02104029,50,31,0.62
223,n02104365,49,37,0.7551020408163265
224,n02105056,50,34,0.68
225,n02105162,50,38,0.76
226,n02105251,50,24,0.48
227,n02105412,49,28,0.5714285714285714
228,n02105505,50,43,0.86
229,n02105641,49,39,0.7959183673469388
230,n02105855,49,29,0.5918367346938775
231,n02106030,50,28,0.56
232,n02106166,50,33,0.66
233,n02106382,50,31,0.62
234,n02106550,50,35,0.7
235,n02106662,50,34,0.68
236,n02107142,50,30,0.6
237,n02107312,50,25,0.5
238,n02107574,50,33,0.66
239,n02107683,47,43,0.9148936170212766
240,n02107908,50,15,0.3
241,n02108000,50,25,0.5
242,n02108089,50,29,0.58
243,n02108422,49,35,0.7142857142857143
244,n02108551,50,43,0.86
245,n02108915,50,36,0.72
246,n02109047,50,28,0.56
247,n02109525,50,45,0.9
248,n02109961,50,13,0.26
249,n02110063,49,28,0.5714285714285714
250,n02110185,49,27,0.5510204081632653
251,n02110341,49,47,0.9591836734693877
252,n02110627,50,33,0.66
253,n02110806,49,40,0.8163265306122449
254,n02110958,49,41,0.8367346938775511
255,n02111129,48,46,0.9583333333333334
256,n02111277,49,37,0.7551020408163265
257,n02111500,50,33,0.66
258,n02111889,50,44,0.88
259,n02112018,50,44,0.88
260,n02112137,50,40,0.8
261,n02112350,50,38,0.76
262,n02112706,50,33,0.66
263,n02113023,50,36,0.72
264,n02113186,50,27,0.54
265,n02113624,49,22,0.4489795918367347
266,n02113712,47,13,0.2765957446808511
267,n02113799,49,35,0.7142857142857143
268,n02113978,50,43,0.86
269,n02114367,49,33,0.673469387755102
270,n02114548,50,39,0.78
271,n02114712,50,23,0.46
272,n02114855,50,30,0.6
273,n02115641,48,34,0.7083333333333334
274,n02115913,50,41,0.82
275,n02116738,49,46,0.9387755102040817
276,n02117135,50,41,0.82
277,n02119022,47,26,0.5531914893617021
278,n02119789,50,22,0.44
279,n02120079,50,42,0.84
280,n02120505,50,35,0.7
281,n02123045,50,27,0.54
282,n02123159,50,14,0.28
283,n02123394,50,37,0.74
284,n02123597,50,47,0.94
285,n02124075,50,23,0.46
286,n02125311,50,37,0.74
287,n02127052,50,30,0.6
288,n02128385,50,40,0.8
289,n02128757,50,42,0.84
290,n02128925,49,30,0.6122448979591837
291,n02129165,50,42,0.84
292,n02129604,49,44,0.8979591836734694
293,n02130308,50,46,0.92
294,n02132136,49,41,0.8367346938775511
295,n02133161,50,41,0.82
296,n02134084,46,41,0.8913043478260869
297,n02134418,50,30,0.6
298,n02137549,50,27,0.54
299,n02138441,49,40,0.8163265306122449
300,n02165105,48,38,0.7916666666666666
301,n02165456,49,43,0.8775510204081632
302,n02167151,50,26,0.52
303,n02168699,46,20,0.43478260869565216
304,n02169497,50,29,0.58
305,n02172182,49,42,0.8571428571428571
306,n02174001,50,39,0.78
307,n02177972,50,37,0.74
308,n02190166,50,40,0.8
309,n02206856,46,28,0.6086956521739131
310,n02219486,48,31,0.6458333333333334
311,n02226429,50,25,0.5
312,n02229544,50,24,0.48
313,n02231487,49,27,0.5510204081632653
314,n02233338,48,27,0.5625
315,n02236044,50,24,0.48
316,n02256656,49,32,0.6530612244897959
317,n02259212,50,43,0.86
318,n02264363,50,37,0.74
319,n02268443,50,33,0.66
320,n02268853,49,29,0.5918367346938775
321,n02276258,50,45,0.9
322,n02277742,50,43,0.86
323,n02279972,49,44,0.8979591836734694
324,n02280649,50,43,0.86
325,n02281406,50,44,0.88
326,n02281787,50,42,0.84
327,n02317335,48,36,0.75
328,n02319095,47,33,0.7021276595744681
329,n02321529,50,32,0.64
330,n02325366,50,34,0.68
331,n02326432,50,40,0.8
332,n02328150,50,46,0.92
333,n02342885,50,48,0.96
334,n02346627,50,41,0.82
335,n02356798,50,37,0.74
336,n02361337,50,39,0.78
337,n02363005,50,31,0.62
338,n02364673,47,34,0.723404255319149
339,n02389026,49,45,0.9183673469387755
340,n02391049,47,45,0.9574468085106383
341,n02395406,47,20,0.425531914893617
342,n02396427,50,34,0.68
343,n02397096,49,33,0.673469387755102
344,n02398521,49,40,0.8163265306122449
345,n02403003,47,18,0.3829787234042553
346,n02408429,50,33,0.66
347,n02410509,50,46,0.92
348,n02412080,50,27,0.54
349,n02415577,50,37,0.74
350,n02417914,49,43,0.8775510204081632
351,n02422106,49,43,0.8775510204081632
352,n02422699,46,34,0.7391304347826086
353,n02423022,48,29,0.6041666666666666
354,n02437312,50,43,0.86
355,n02437616,50,39,0.78
356,n02441942,50,20,0.4
357,n02442845,49,27,0.5510204081632653
358,n02443114,49,17,0.3469387755102041
359,n02443484,50,25,0.5
360,n02444819,50,34,0.68
361,n02445715,50,43,0.86
362,n02447366,50,42,0.84
363,n02454379,50,40,0.8
364,n02457408,50,38,0.76
365,n02480495,50,40,0.8
366,n02480855,49,36,0.7346938775510204
367,n02481823,50,34,0.68
368,n02483362,50,33,0.66
369,n02483708,50,25,0.5
370,n02484975,50,37,0.74
371,n02486261,50,28,0.56
372,n02486410,50,42,0.84
373,n02487347,50,33,0.66
374,n02488291,50,25,0.5
375,n02488702,50,39,0.78
376,n02489166,48,45,0.9375
377,n02490219,49,35,0.7142857142857143
378,n02492035,50,35,0.7
379,n02492660,50,42,0.84
380,n02493509,50,25,0.5
381,n02493793,50,22,0.44
382,n02494079,50,38,0.76
383,n02497673,48,37,0.7708333333333334
384,n02500267,50,42,0.84
385,n02504013,48,21,0.4375
386,n02504458,50,28,0.56
387,n02509815,50,47,0.94
388,n02510455,50,42,0.84
389,n02514041,48,29,0.6041666666666666
390,n02526121,47,24,0.5106382978723404
391,n02536864,48,28,0.5833333333333334
392,n02606052,49,45,0.9183673469387755
393,n02607072,50,39,0.78
394,n02640242,49,29,0.5918367346938775
395,n02641379,49,28,0.5714285714285714
396,n02643566,50,44,0.88
397,n02655020,47,33,0.7021276595744681
