,incontext_loss,incontext_acc,incontext_top5_acc,outofcontext_loss,outofcontext_acc,outofcontext_top5_acc
0,0.05391218885779381,0.9736841917037964,1.0,2.3153980627003485,0.517783088252029,0.791735365277627
1,0.8379188179969788,0.7755101919174194,0.9285714030265808,1.4852956833465556,0.6500804261115953,0.8631382292983535
2,1.6081642760526413,0.6845637611894799,0.8590604034846261,1.4474909624292656,0.6560450081850745,0.865007037600094
3,1.0972236879801347,0.741525416657076,0.9025423809633417,1.4626907868719734,0.6548809844666101,0.8650236901471248
4,1.3589666903576003,0.6760124657012964,0.8629283500237628,1.468448687963708,0.6550645561582973,0.8642951959154719
5,1.1937192996342978,0.7083333373069763,0.8916666706403097,1.479245943465929,0.6550159134937249,0.8627209499402084
6,1.4042612049119638,0.6671575853856218,0.8748159060948727,1.468775771948226,0.6531618727778487,0.8630290665134723
7,1.288619737156102,0.6956967193572248,0.8913934416458255,1.4778703489769291,0.6521862469720108,0.8623344744345373
8,1.2055767623695244,0.688378977563803,0.904515174783485,1.4733698714044965,0.6547592237839269,0.8617417814575644
9,1.3565281067754746,0.6762103071317023,0.8766267568974493,1.4592711695008596,0.6536428582720218,0.8637770638589296
10,1.438705218063962,0.6562731996587938,0.8682256867112101,1.453095945582192,0.6541890982542967,0.8639169395359039
11,1.3997261288167302,0.6629805162494091,0.8751974729502308,1.463252814689631,0.6562309127442811,0.8645156055609808
12,1.3705467378502847,0.6710600643323159,0.8732818679112855,1.444758654790801,0.656171357319865,0.8651566147284655
13,1.2843771906321546,0.6918868427916721,0.8823058445007603,1.4272348100512215,0.6620064166331885,0.8691636528549476
14,1.3290801815566375,0.6820869894029529,0.8777184283310382,1.4155288567016495,0.663118970963626,0.8662582188732805
15,1.3167641839346471,0.6876155268042584,0.8789621414553583,1.4279987246704808,0.6603884849483715,0.8664954829147135
16,1.3638391326935448,0.6719327239751027,0.8755104025699461,1.4185927226519477,0.6674555727145709,0.8670627441638871
17,1.3562733155239735,0.6753983162460137,0.876643707004443,1.381317070221046,0.6725933633255988,0.8728687057000597
