,loss_in,loss_out,acc_top1_in,acc_top1_out,acc_top5_in,acc_top5_out
0,0.7488727,2.1085238,0.8170334,0.522213,0.9421353,0.78835404
1,0.7874519,2.0724473,0.81948423,0.5356262,0.93532544,0.79406047
2,1.1117452,1.9382187,0.7326069,0.5546541,0.8981559,0.80648607
3,0.87177366,2.0982175,0.79139346,0.526202,0.9282787,0.7891393
4,0.6277932,2.2777963,0.84765464,0.5070807,0.95226234,0.7762552
5,0.8243307,2.224139,0.8031001,0.5026499,0.93045664,0.77590454
6,0.70331436,2.1070905,0.82419896,0.52696985,0.9460371,0.7818646
7,0.7895644,2.0467026,0.80545074,0.53839445,0.9404612,0.79427737
8,0.83279103,2.1855965,0.79125,0.50665385,0.935,0.7771718
9,0.77393085,1.9865074,0.8162252,0.5448474,0.92963576,0.8022129
