,val_loss,val_acc,val_top_k_categorical_accuracy,loss,acc,top_k_categorical_accuracy
0,2.50640092420578,0.5893125,0.8308359375,3.3543749942872707,0.49705470137655416,0.7514084702486679
1,2.0682354323863983,0.61946875,0.84996875,2.2770313996140104,0.6002936625777087,0.8409903002886323
2,1.8739908854961396,0.63259375,0.8614921875,1.9860455552860432,0.6203218666740675,0.8524453957593251
3,1.7463773267269134,0.6465625,0.8639609375,1.81704630296459,0.6330362594360568,0.8615015819271759
4,1.6711467151641846,0.649953125,0.8705,1.723193926084952,0.6413240314165186,0.8662473634547069
5,1.5825855655670167,0.65878125,0.8804453125,1.648502205897182,0.6487401823379219,0.8701961104018651
6,1.5453766448497772,0.6576796875,0.8803828125,1.5907289888412024,0.6551719651976021,0.87501474383881
7,1.522105094369551,0.6613957526577087,0.8810057629930612,1.5455777028357736,0.6602223879674715,0.8770693132445422
8,1.4603395338058471,0.675484375,0.885859375,1.5145095017727062,0.6629827306283304,0.8778542337366785
9,1.4685483994483948,0.66621875,0.880828125,1.4874223995536937,0.6648135684946714,0.8804500166518651
