,val_loss,val_acc,val_top_k_categorical_accuracy,loss,acc,top_k_categorical_accuracy
0,0.9541977359027397,0.7668292682926829,0.9180487804878049,1.0529255102070585,0.7438509047761203,0.9057319319536244
1,0.9042409838699713,0.7785365853658537,0.926829268292683,0.99628069963573,0.756853396920448,0.9117997616338942
2,0.864667391391789,0.7863414634146342,0.9326829268292683,0.9499596646488494,0.7700725972607226,0.9172174666811139
3,0.8317467559256205,0.7941463414634147,0.9336585365853659,0.912387065270544,0.7777657384590333,0.9214432766409372
4,0.8032906031688085,0.8,0.9365853658536586,0.8801994112023864,0.7849171091319551,0.9246938996641023
5,0.7781345124371178,0.806829268292683,0.937560975609756,0.8516974579617551,0.7923935421214019,0.9278361686054398
6,0.7552641181629606,0.8107317073170732,0.9395121951219512,0.8262894069248166,0.7987864340859047,0.9303283129395611
7,0.7347060564669167,0.8185365853658536,0.9395121951219512,0.8032201788758441,0.8034456604311636,0.932061978545888
8,0.7159270058608637,0.8263414634146341,0.9414634146341463,0.7822228256007137,0.8076714703845286,0.9345541228800092
9,0.6984183633472861,0.8302439024390244,0.9463414634146341,0.7628598311105261,0.8115722180084516,0.9366128507964027
10,0.6824179537703351,0.8341463414634146,0.9492682926829268,0.744950058581912,0.8169899230944218,0.9388882869281184
11,0.6672527359121638,0.8360975609756097,0.953170731707317,0.7281396919501177,0.8206739625159394,0.9401885361360928
12,0.6531684895259746,0.84,0.953170731707317,0.7123839993210265,0.8245747101656961,0.94127207714812
13,0.63979280005141,0.8409756097560975,0.9541463414634146,0.6976062530995397,0.8272835626957643,0.9427890345649583
14,0.6272652430141844,0.8448780487804878,0.9551219512195122,0.6837140125557433,0.8309676021301988,0.9449561165890129
15,0.6153531160587364,0.8458536585365853,0.9590243902439024,0.6704746791207916,0.834001516976792,0.9457145953038905
16,0.6037697964797659,0.8497560975609756,0.96,0.6577554742419871,0.837577202297107,0.947339906815473
17,0.5929477939620705,0.8526829268292683,0.96,0.6456113086062969,0.8398526384481979,0.9487485101375669
18,0.5824910168458776,0.8565853658536585,0.96,0.6340385512872175,0.8422364286681996,0.9501571134467439
19,0.572548712744582,0.8575609756097561,0.9609756097560975,0.6229931781513872,0.8448369270970651,0.9509155921551631
20,0.5629699821019064,0.8595121951219512,0.9609756097560975,0.6123859793034958,0.8481959042343498,0.9518907790659876
21,0.5538925817536144,0.8634146341463415,0.9609756097560975,0.6021881047456646,0.8503629862390292,0.9523241954707986
22,0.5451574091842716,0.8673170731707317,0.9619512195121951,0.5925186257512718,0.8532885469844197,0.9532993823816232
23,0.5367952284375888,0.8682926829268293,0.9619512195121951,0.5831301832834604,0.8561057536286075,0.954382923419484
24,0.5285956207499272,0.871219512195122,0.9619512195121951,0.5741137280044635,0.8578394192349343,0.9550330480073252
25,0.5207122666661332,0.8721951219512195,0.9639024390243902,0.5653632345308345,0.8601148553537333,0.9562249431140969
26,0.5131772557700552,0.8731707317073171,0.9639024390243902,0.5568779269720754,0.8622819373907047,0.9573084841325826
27,0.5059249703477069,0.8790243902439024,0.9639024390243902,0.5487323999275739,0.8637988948010845,0.9582836710434072
28,0.49882599458463583,0.8790243902439024,0.9639024390243902,0.540806474642656,0.8671578719319107,0.9591505038465706
