,val_loss,val_acc,val_top_k_categorical_accuracy,loss,acc,top_k_categorical_accuracy
0,1.001212172869354,0.7401938911205382,0.9164401897478698,1.0536586257496516,0.7274177701135678,0.9113972543507444
1,0.9622164803170599,0.7501723927517902,0.9209021213876399,1.0000881961846528,0.7402401319558165,0.9174230883456084
2,0.9359376976438087,0.756337970948551,0.9240660365008004,0.9649373348573819,0.7488033964482237,0.9212314875769388
3,0.9171816871668443,0.7608404657456114,0.926783758624545,0.9401018950304744,0.7546850070662897,0.9240303229509391
4,0.9030833349229646,0.7638015657009346,0.9279600859500716,0.921557366675527,0.7593317048220346,0.92588719927597
5,0.8921605017017613,0.7662353466641505,0.9290958504447037,0.9071228110633046,0.762720954767518,0.9274601357529636
6,0.8834516718359268,0.7679795562938102,0.9304344298844115,0.8955250903509374,0.7654476784404933,0.9288437790179904
7,0.8763683676424701,0.7698048918101095,0.9311645640778753,0.8859845311297687,0.7680436997026411,0.9299479894152194
8,0.8704584225125522,0.7714274125239798,0.931854135454951,0.8779950609953019,0.7699231108837385,0.9307051622990835
9,0.8654825412873607,0.773333874226719,0.9321380765574537,0.8711937623516173,0.7714870334265795,0.9312550139962955
10,0.861226038585032,0.7746318906106818,0.9329493368213058,0.865318995491595,0.7729382813839162,0.9319310612159694
11,0.8575501561730609,0.7757270919625302,0.9332738409964776,0.8601880579745473,0.7743805154033394,0.9324042942308424
12,0.8543686106621515,0.7769034194452102,0.9335172189416902,0.8556656796754125,0.7756514841344403,0.932891048212223
13,0.8515945223046718,0.7780391839398422,0.9336389079711135,0.8516537537010759,0.7767692155239662,0.9333192114601612
14,0.8491618360065183,0.7788910071772358,0.9338417230878491,0.8480670005960184,0.7777292025460091,0.9337293467608148
15,0.846997072313425,0.7793372003383116,0.9340851012893425,0.844835870097622,0.7787793291701557,0.9339411748841872
16,0.8450541892956126,0.7802701496896127,0.9343690422782114,0.8419134379978428,0.7794373484624243,0.9342972264063857
17,0.843336924106041,0.7805135278330804,0.9344501684066253,0.8392586564143878,0.7800818467935579,0.9345901801686965
18,0.8417865252154394,0.7805946537487329,0.9348963614685736,0.8368340401081726,0.7806587404006824,0.9348921479167382
19,0.8403735000555381,0.781081409895439,0.9348963614685736,0.8346078622476442,0.7812852107780842,0.9350679201874491
20,0.8391132955545731,0.7811219729100822,0.9350991764982705,0.8325488038878803,0.7815556296590767,0.9352031296284826
21,0.8379704874364453,0.7814464771843815,0.9350586134691207,0.8306406505899456,0.7820964674393288,0.935329325103127
22,0.836918846299207,0.7815681661146773,0.9349774874543407,0.8288667278895883,0.7824975887752051,0.9354239717354368
23,0.8359404912716583,0.7820954852615202,0.9350180504689839,0.827212721994012,0.7828085704907105,0.9355501671891276
24,0.8350622194493097,0.7822577373055867,0.9349369244542038,0.8256602478180575,0.783142087104727,0.9356763626900985
25,0.8342471440094787,0.7825011154369655,0.9351803025420634,0.8242090736112537,0.7836063061773882,0.9357755162779332
26,0.8335003644289634,0.7827444935369138,0.9351397396265476,0.8228475428081883,0.7838722180765294,0.9358791768492309
27,0.8328136514274072,0.7830689977701115,0.9349774874398342,0.8215591157917971,0.7843679859979727,0.9360414281512851
28,0.8321686678279347,0.7832312497851651,0.935099176483764,0.8203430845772723,0.7847240375190967,0.93606396308257
29,0.8315921776996724,0.7833123758144516,0.9352614287139968,0.8191947257827485,0.7850440331923947,0.9362307213654009
30,0.8310587230364276,0.7832718128433277,0.9353019915859931,0.8181055710704884,0.7853414939601968,0.9363073400482771
31,0.8305440696311984,0.7835151907885403,0.9355048067873498,0.8170739458669116,0.78564796871373,0.9364831123447771
32,0.83007990508342,0.7837991320191835,0.9356264956741261,0.8160857254953858,0.7858462758942347,0.9365597310281907
33,0.8296237908449104,0.7840019469497528,0.9355453696883591,0.8151513242744338,0.7860941598632841,0.9366588846144135
34,0.8292175932394362,0.7841236360517084,0.9357076217324256,0.814253574493759,0.7863375368531687,0.9366769125407443
35,0.8288224226842472,0.7841236361097342,0.9357076217469321,0.813399092928704,0.7865673928754708,0.9367850800664924
36,0.8284587572154102,0.7841236359791761,0.9358293109190022,0.812579956669243,0.78678372797962,0.936861698773546
