,loss,accuracy,top_k_categorical_accuracy,val_loss,val_accuracy,val_top_k_categorical_accuracy
0,1.059697433940394,0.7253180742263794,0.9123615622520447,1.015682604141578,0.7346368432044983,0.9176205992698669
1,1.0215919732233252,0.7333676815032959,0.9171581864356995,0.9972828406535699,0.7384551763534546,0.9196507930755615
2,1.0077546134339717,0.7359997034072876,0.9189515709877014,0.9884851424993869,0.7399778366088867,0.9209704399108887
3,1.000347605013357,0.7375156283378601,0.920013964176178,0.9836027212961467,0.7408913969993591,0.9215794801712036
4,0.9958001615975902,0.7384322881698608,0.9206045269966125,0.9805868278720422,0.7414770722389221,0.9220870733261108
5,0.9927515984928603,0.7390731573104858,0.9209826588630676,0.9786181052525839,0.7416020035743713,0.922415018081665
6,0.9905604739363743,0.7394495606422424,0.921295702457428,0.9772394200760923,0.7418206334114075,0.9225009083747864
7,0.9888875557966651,0.739784300327301,0.9214786887168884,0.9762679742957779,0.7421876192092896,0.9229147434234619
8,0.9875631065093786,0.7400115132331848,0.9216243624687195,0.9755583829032685,0.7423437833786011,0.9229928255081177
9,0.9864774654763911,0.7402074933052063,0.9216902852058411,0.9749713055863828,0.7425546050071716,0.92302405834198
10,0.9855655468018829,0.7403644323348999,0.9218116998672485,0.9745456375285775,0.7426483035087585,0.9230396747589111
11,0.9847791764551352,0.7405361533164978,0.9218958020210266,0.9741530374376598,0.7427810430526733,0.9231021404266357
12,0.9840934764766774,0.7406489253044128,0.9219643473625183,0.9738753198863503,0.7428825497627258,0.9231177568435669
